-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2025,7,29.5
-18.5,-62.5,2025,7,28.96
-17.5,-63.5,2025,7,28.82
-17.5,-62.5,2025,7,28.55
-16.5,-63.5,2025,7,28.21
-16.5,-62.5,2025,7,28.25
-18.5,-63.5,2025,8,29.02
-18.5,-62.5,2025,8,28.74
-17.5,-63.5,2025,8,28.3
-17.5,-62.5,2025,8,28.32
-16.5,-63.5,2025,8,28.03
-16.5,-62.5,2025,8,27.74
-18.5,-63.5,2025,9,28.87
-18.5,-62.5,2025,9,28.84
-17.5,-63.5,2025,9,28.19
-17.5,-62.5,2025,9,28.38
-16.5,-63.5,2025,9,28.06
-16.5,-62.5,2025,9,28.3
-18.5,-63.5,2025,10,28.63
-18.5,-62.5,2025,10,28.77
-17.5,-63.5,2025,10,28.03
-17.5,-62.5,2025,10,28.37
-16.5,-63.5,2025,10,27.86
-16.5,-62.5,2025,10,28.4
-18.5,-63.5,2025,11,29.05
-18.5,-62.5,2025,11,28.79
-17.5,-63.5,2025,11,28.47
-17.5,-62.5,2025,11,28.43
-16.5,-63.5,2025,11,28.45
-16.5,-62.5,2025,11,27.93
-18.5,-63.5,2025,12,28.86
-18.5,-62.5,2025,12,28.03
-17.5,-63.5,2025,12,28.17
-17.5,-62.5,2025,12,27.6
-16.5,-63.5,2025,12,27.38
-16.5,-62.5,2025,12,27.38
-18.5,-63.5,2025,13,28.39
-18.5,-62.5,2025,13,28.14
-17.5,-63.5,2025,13,27.74
-17.5,-62.5,2025,13,27.7
-16.5,-63.5,2025,13,27.23
-16.5,-62.5,2025,13,27.87
-18.5,-63.5,2025,14,29.45
-18.5,-62.5,2025,14,28.96
-17.5,-63.5,2025,14,28.7
-17.5,-62.5,2025,14,28.42
-16.5,-63.5,2025,14,27.45
-16.5,-62.5,2025,14,27.75
-18.5,-63.5,2025,15,30.19
-18.5,-62.5,2025,15,29.64
-17.5,-63.5,2025,15,29.45
-17.5,-62.5,2025,15,29.06
-16.5,-63.5,2025,15,28.31
-16.5,-62.5,2025,15,28.74
-18.5,-63.5,2025,16,29.66
-18.5,-62.5,2025,16,29.08
-17.5,-63.5,2025,16,28.95
-17.5,-62.5,2025,16,28.63
-16.5,-63.5,2025,16,28.65
-16.5,-62.5,2025,16,28.55
-18.5,-63.5,2025,17,29.75
-18.5,-62.5,2025,17,28.96
-17.5,-63.5,2025,17,29.04
-17.5,-62.5,2025,17,28.51
-16.5,-63.5,2025,17,28.58
-16.5,-62.5,2025,17,28.23
-18.5,-63.5,2025,18,29.63
-18.5,-62.5,2025,18,28.92
-17.5,-63.5,2025,18,28.93
-17.5,-62.5,2025,18,28.45
-16.5,-63.5,2025,18,28.36
-16.5,-62.5,2025,18,28.4
-18.5,-63.5,2025,19,28.83
-18.5,-62.5,2025,19,28.55
-17.5,-63.5,2025,19,28.16
-17.5,-62.5,2025,19,28.07
-16.5,-63.5,2025,19,27.97
-16.5,-62.5,2025,19,28.33
-18.5,-63.5,2025,20,28.45
-18.5,-62.5,2025,20,27.87
-17.5,-63.5,2025,20,27.8
-17.5,-62.5,2025,20,27.48
-16.5,-63.5,2025,20,28.18
-16.5,-62.5,2025,20,28.72
-18.5,-63.5,2025,21,29.08
-18.5,-62.5,2025,21,28.19
