-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-18.0,-63.125,2023,309,19.84
-18.0,-62.5,2023,309,20.51
-17.5,-63.75,2023,309,19.96
-17.5,-63.125,2023,309,20.73
-17.5,-62.5,2023,309,20.87
-17.0,-63.75,2023,309,21.36
-17.0,-63.125,2023,309,21.26
-17.0,-62.5,2023,309,21.35
-16.5,-63.75,2023,309,21.76
-16.5,-63.125,2023,309,21.6
-16.5,-62.5,2023,309,21.54
-18.5,-63.75,2023,310,18.52
-18.5,-63.125,2023,310,22.97
-18.5,-62.5,2023,310,24.24
-18.0,-63.75,2023,310,19.34
-18.0,-63.125,2023,310,22.95
-18.0,-62.5,2023,310,24.36
-17.5,-63.75,2023,310,22.8
-17.5,-63.125,2023,310,23.73
-17.5,-62.5,2023,310,24.53
-17.0,-63.75,2023,310,24.2
-17.0,-63.125,2023,310,24.43
-17.0,-62.5,2023,310,24.66
-16.5,-63.75,2023,310,24.68
-16.5,-63.125,2023,310,24.72
-16.5,-62.5,2023,310,24.53
-18.5,-63.75,2023,311,19.81
-18.5,-63.125,2023,311,24.45
-18.5,-62.5,2023,311,25.42
-18.0,-63.75,2023,311,20.64
-18.0,-63.125,2023,311,24.5
-18.0,-62.5,2023,311,25.52
-17.5,-63.75,2023,311,24.14
-17.5,-63.125,2023,311,25.16
-17.5,-62.5,2023,311,25.57
-17.0,-63.75,2023,311,25.49
-17.0,-63.125,2023,311,25.65
-17.0,-62.5,2023,311,25.6
-16.5,-63.75,2023,311,25.94
-16.5,-63.125,2023,311,25.84
-16.5,-62.5,2023,311,25.29
-18.5,-63.75,2023,312,20.48
-18.5,-63.125,2023,312,25.25
-18.5,-62.5,2023,312,26.21
-18.0,-63.75,2023,312,21.27
-18.0,-63.125,2023,312,25.21
-18.0,-62.5,2023,312,26.28
-17.5,-63.75,2023,312,24.8
-17.5,-63.125,2023,312,25.84
-17.5,-62.5,2023,312,26.39
-17.0,-63.75,2023,312,26.21
-17.0,-63.125,2023,312,26.34
-17.0,-62.5,2023,312,26.47
-16.5,-63.75,2023,312,26.51
-16.5,-63.125,2023,312,26.55
-16.5,-62.5,2023,312,26.0
-18.5,-63.75,2023,313,20.74
-18.5,-63.125,2023,313,25.69
-18.5,-62.5,2023,313,26.75
-18.0,-63.75,2023,313,21.79
-18.0,-63.125,2023,313,25.78
-18.0,-62.5,2023,313,26.82
-17.5,-63.75,2023,313,25.67
-17.5,-63.125,2023,313,26.6
-17.5,-62.5,2023,313,27.0
-17.0,-63.75,2023,313,26.91
-17.0,-63.125,2023,313,27.03
-17.0,-62.5,2023,313,26.87
-16.5,-63.75,2023,313,27.08
-16.5,-63.125,2023,313,26.99
-16.5,-62.5,2023,313,26.19
-18.5,-63.75,2023,314,20.9
-18.5,-63.125,2023,314,25.85
-18.5,-62.5,2023,314,26.53
-18.0,-63.75,2023,314,21.86
-18.0,-63.125,2023,314,25.88
-18.0,-62.5,2023,314,26.6
-17.5,-63.75,2023,314,25.64
-17.5,-63.125,2023,314,26.64
-17.5,-62.5,2023,314,26.7
-17.0,-63.75,2023,314,26.93
-17.0,-63.125,2023,314,26.92
-17.0,-62.5,2023,314,26.59
-16.5,-63.75,2023,314,26.89
-16.5,-63.125,2023,314,26.79
-16.5,-62.5,2023,314,25.96
-18.5,-63.75,2023,315,21.13
-18.5,-63.125,2023,315,25.88
-18.5,-62.5,2023,315,26.42
-18.0,-63.75,2023,315,21.81
-18.0,-63.125,2023,315,25.69
-18.0,-62.5,2023,315,26.5
-17.5,-63.75,2023,315,25.46
-17.5,-63.125,2023,315,26.41
-17.5,-62.5,2023,315,26.68
-17.0,-63.75,2023,315,26.8
-17.0,-63.125,2023,315,26.83
-17.0,-62.5,2023,315,26.72
-16.5,-63.75,2023,315,26.95
-16.5,-63.125,2023,315,26.89
-16.5,-62.5,2023,315,26.08
-18.5,-63.75,2023,316,21.04
-18.5,-63.125,2023,316,25.95
-18.5,-62.5,2023,316,26.69
-18.0,-63.75,2023,316,21.91
-18.0,-63.125,2023,316,25.89
-18.0,-62.5,2023,316,26.91
-17.5,-63.75,2023,316,25.64
-17.5,-63.125,2023,316,26.73
-17.5,-62.5,2023,316,27.07
-17.0,-63.75,2023,316,27.07
-17.0,-63.125,2023,316,27.13
-17.0,-62.5,2023,316,27.08
-16.5,-63.75,2023,316,27.22
-16.5,-63.125,2023,316,27.08
-16.5,-62.5,2023,316,26.35
-18.5,-63.75,2023,317,21.14
-18.5,-63.125,2023,317,26.29
-18.5,-62.5,2023,317,27.05
-18.0,-63.75,2023,317,22.13
-18.0,-63.125,2023,317,26.24
-18.0,-62.5,2023,317,27.18
-17.5,-63.75,2023,317,25.96
-17.5,-63.125,2023,317,27.03
-17.5,-62.5,2023,317,27.28
-17.0,-63.75,2023,317,27.38
-17.0,-63.125,2023,317,27.37
-17.0,-62.5,2023,317,27.15
-16.5,-63.75,2023,317,27.43
-16.5,-63.125,2023,317,27.3
-16.5,-62.5,2023,317,26.49
-18.5,-63.75,2023,318,20.92
-18.5,-63.125,2023,318,25.89
-18.5,-62.5,2023,318,26.58
-18.0,-63.75,2023,318,21.9
-18.0,-63.125,2023,318,25.88
-18.0,-62.5,2023,318,26.69
